City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,neiafu,-18.65,-173.9833,25.38,94,40,4.12,TO,1700414395
240,chokwe,-24.5333,32.9833,29.01,53,68,5.22,MZ,1700414396
241,houghton,47.1219,-88.569,4.29,60,40,1.54,US,1700414367
242,hasaki,35.7333,140.8333,6.22,64,14,6.82,JP,1700414396
243,bouca,6.5105,18.2733,25.92,65,100,1.83,CF,1700414396
244,fortuna,40.5982,-124.1573,11.1,96,20,1.54,US,1700414397
245,robore,-18.3333,-59.75,38.32,28,78,5.71,BO,1700414397
246,margherita,27.2833,95.6833,19.1,85,0,1.02,IN,1700414397
247,waurn ponds,-38.2167,144.2833,14.47,82,61,0.81,AU,1700414195
248,kyren,51.6828,102.1408,0.53,74,91,1.79,RU,1700414397
249,altay,47.8667,88.1167,1.07,94,100,0.61,CN,1700414398
250,acarau,-2.8856,-40.12,30.82,62,59,8.24,BR,1700414398
251,deir ez-zor,35.3359,40.1408,18.42,64,100,5.3,SY,1700414398
252,blackwater,-23.5833,148.8833,20.94,100,99,5.37,AU,1700414398
253,palmer,42.1584,-72.3287,11.4,43,20,6.17,US,1700414399
254,horby,50.0468,32.4907,-0.98,81,61,4.77,UA,1700414399
255,mahanoro,-19.9,48.8,23.39,78,4,2.55,MG,1700414399
256,yung shue wan,22.2333,114.1167,19.86,68,19,2.65,HK,1700414400
257,discovery bay,37.9085,-121.6002,14.1,60,0,3.13,US,1700414400
258,mersing,2.4312,103.8405,24.95,94,20,3.6,MY,1700414400
259,birobidzhan,48.8,132.95,-11.77,91,8,2.58,RU,1700414401
260,jamaame,0.0697,42.745,24.49,92,100,0.17,SO,1700414401
261,mournies,35.4764,24.0092,13.79,76,40,2.06,GR,1700414401
262,taroudant,30.4703,-8.877,28.17,15,38,4.73,MA,1700414402
263,ocos,14.5094,-92.1933,30.1,75,12,1.51,GT,1700414402
264,gangneung,37.7556,128.8961,6.31,67,1,3.55,KR,1700414216
265,morinville,53.8001,-113.652,4.88,80,0,3.09,CA,1700414403
266,gaspe,48.8334,-64.4819,2.12,55,75,5.14,CA,1700414404
267,utrik,11.2278,169.8474,27.93,77,3,8.06,MH,1700414404
268,zakynthos,37.7914,20.8953,12.02,66,20,0.0,GR,1700414405
269,nova sintra,14.8667,-24.7167,22.93,67,100,7.24,CV,1700414147
270,polyarnyy,69.1989,33.4478,-12.5,96,69,3.16,RU,1700414153
271,nago,26.5881,127.9761,17.24,63,5,2.92,JP,1700414121
272,port saint john's,-31.6229,29.5448,22.63,95,96,4.84,ZA,1700414407
273,bad endbach,50.75,8.5,10.49,91,52,5.71,DE,1700414408
274,port lincoln,-34.7333,135.8667,14.09,87,91,5.22,AU,1700414408
275,hotan,37.0997,79.9269,7.25,17,96,2.03,CN,1700414409
276,luancheng,37.8792,114.6517,2.09,37,0,1.31,CN,1700414409
